kid pa ma
F1_301 0 0
M1_276 0 0
F1_302 0 0
M1_277 0 0
M1_278 0 0
F1_303 0 0
M1_279 0 0
F1_304 0 0
F1_305 0 0
M1_280 0 0
F1_306 0 0
M1_281 0 0
F1_307 0 0
M1_282 0 0
F1_308 0 0
M1_283 0 0
F1_309 0 0
F1_310 0 0
F1_311 0 0
F1_312 0 0
M1_284 0 0
M1_285 0 0
F1_313 0 0
M1_286 0 0
F1_314 0 0
M1_287 0 0
M1_288 0 0
F1_315 0 0
F1_316 0 0
F1_317 0 0
F1_318 0 0
F1_319 0 0
F1_320 0 0
M1_289 0 0
M1_290 0 0
M1_291 0 0
F1_321 0 0
M1_292 0 0
M1_293 0 0
F1_322 0 0
F1_323 0 0
M1_294 0 0
F1_324 0 0
F1_325 0 0
F1_326 0 0
F1_327 0 0
F1_328 0 0
F1_329 0 0
M1_295 0 0
F1_330 0 0
F1_331 0 0
F1_332 0 0
M1_296 0 0
F1_333 0 0
F1_334 0 0
F1_335 0 0
M1_297 0 0
M1_298 0 0
M1_299 0 0
M1_300 0 0
F1_336 0 0
M1_301 0 0
M1_302 0 0
M1_303 0 0
F1_337 0 0
M1_304 0 0
M1_305 0 0
F1_338 0 0
F1_339 0 0
F1_340 0 0
F1_341 0 0
M1_306 0 0
M1_307 0 0
F1_342 0 0
M1_308 0 0
F1_343 0 0
F1_344 0 0
M1_309 0 0
M1_310 0 0
F1_345 0 0
M1_311 0 0
M1_312 0 0
F1_346 0 0
F1_347 0 0
M1_313 0 0
F1_348 0 0
F1_349 0 0
M1_314 0 0
M1_315 0 0
F1_350 0 0
F1_351 0 0
M1_316 0 0
M1_317 0 0
F1_352 0 0
F1_353 0 0
F1_354 0 0
F1_355 0 0
M1_318 0 0
F1_356 0 0
F1_357 0 0
F1_358 0 0
F1_359 0 0
M1_319 0 0
M1_320 0 0
M1_321 0 0
F1_360 0 0
F1_361 0 0
M1_322 0 0
M1_323 0 0
F1_362 0 0
F1_363 0 0
M1_324 0 0
F1_364 0 0
F1_365 0 0
M1_325 0 0
M1_326 0 0
F1_366 0 0
F1_367 0 0
M1_327 0 0
F1_368 0 0
M1_328 0 0
M1_329 0 0
M1_330 0 0
F1_369 0 0
F1_370 0 0
F1_371 0 0
F1_372 0 0
M1_331 0 0
M1_332 0 0
M1_333 0 0
F1_373 0 0
F1_374 0 0
M1_334 0 0
M1_335 0 0
M1_336 0 0
M1_337 0 0
M1_338 0 0
F1_375 0 0
M1_339 0 0
F1_376 0 0
F1_377 0 0
F1_378 0 0
M1_340 0 0
M1_341 0 0
F1_379 0 0
F1_380 0 0
F1_381 0 0
F1_382 0 0
M1_342 0 0
F1_383 0 0
F1_384 0 0
F1_385 0 0
M1_343 0 0
M1_344 0 0
F1_386 0 0
F1_387 0 0
F1_388 0 0
M1_345 0 0
M1_346 0 0
F1_389 0 0
F1_390 0 0
F1_391 0 0
M1_347 0 0
M1_348 0 0
M1_349 0 0
M1_350 0 0
F1_392 0 0
M1_351 0 0
F1_393 0 0
F1_394 0 0
F1_395 0 0
F1_396 0 0
M1_352 0 0
M1_353 0 0
F1_397 0 0
F1_398 0 0
M1_354 0 0
F1_399 0 0
F1_400 0 0
F1_401 0 0
M1_355 0 0
F1_402 0 0
F1_403 0 0
M1_356 0 0
F1_404 0 0
F1_405 0 0
M1_357 0 0
M1_358 0 0
M1_359 0 0
F1_406 0 0
F1_407 0 0
F1_408 0 0
M1_360 0 0
M1_361 0 0
F1_409 0 0
M1_362 0 0
F1_410 0 0
M1_363 0 0
M1_364 0 0
M1_365 0 0
F1_411 0 0
F1_412 0 0
M1_366 0 0
F1_413 0 0
M1_367 0 0
M1_368 0 0
M1_369 0 0
F1_414 0 0
M1_370 0 0
F1_415 0 0
F1_416 0 0
M1_371 0 0
M1_372 0 0
F1_417 0 0
F1_418 0 0
M1_373 0 0
M1_374 0 0
F1_419 0 0
F1_420 0 0
M1_375 0 0
F1_421 0 0
M1_376 0 0
M1_377 0 0
F1_422 0 0
F1_423 0 0
F1_424 0 0
M1_378 0 0
